prerequisite_code,course_code
HISB93H3,CLAC68H3
HISB94H3,CLAC68H3
WSTC13H3,CLAC94H3
COPB30H3,COPB31H3
COPD02H3,COPB31H3
COPB30H3,COPB33H3
COPB31H3,COPB33H3
COPB50H3,COPB51H3
COPD01H3,COPB51H3
COPB51H3,COPB52H3
COPD03H3,COPB52H3
COPB52H3,COPB53H3
COPD11H3,COPB53H3
COPB52H3,COPC01H3
COPD11H3,COPC01H3
COPB52H3,COPC03H3
COPD11H3,COPC03H3
COPB52H3,COPC05H3
COPD11H3,COPC05H3
COPB10Y3,COPC07H3
COPD07Y3,COPC07H3
COPD08Y3,COPC07H3
COPB11H3,COPC07H3
COPB12H3,COPC07H3
COPB13H3,COPC07H3
COPB14H3,COPC07H3
COPB31H3,COPC09H3
COPD04H3,COPC09H3
IDSC01H3,COPC09H3
IDSC04H3,COPC09H3
COPB52H3,COPC13H3
COPD11H3,COPC13H3
COPB52H3,COPC14H3
COPD11H3,COPC14H3
COPB52H3,COPC20H3
COPD11H3,COPC20H3
COPB52H3,COPC21H3
COPD11H3,COPC21H3
COPB52H3,COPC30H3
COPD11H3,COPC30H3
COPB52H3,COPC40H3
COPD11H3,COPC40H3
COPB52H3,COPC98H3
COPD11H3,COPC98H3
COPC98H3,COPC99H3
COPD12H3,COPC99H3
CRTB01H3,CRTC72H3
CRTB02H3,CRTC72H3
CRTB01H3,CRTC80H3
VPHB39H3,CRTD43H3
CRTB01H3,CRTD43H3
CRTB02H3,CRTD43H3
VPHB39H3,CRTD44H3
CRTB01H3,CRTD44H3
CRTB02H3,CRTD44H3
CSCA08H3,CSCA48H3
CSCA48H3,CSCB07H3
CSCA48H3,CSCB09H3
CSCA48H3,CSCB36H3
CSCA65H3,CSCB36H3
CSCA67H3,CSCB36H3
CSCA48H3,CSCB58H3
PHYB57H3,CSCB58H3
PSCB57H3,CSCB58H3
CSCB36H3,CSCB63H3
CSCB07H3,CSCC01H3
CSCB09H3,CSCC01H3
CSCB09H3,CSCC09H3
CSCB07H3,CSCC10H3
MATB24H3,CSCC11H3
MATB41H3,CSCC11H3
STAB52H3,CSCC11H3
CSCB07H3,CSCC24H3
CSCB09H3,CSCC24H3
MATA22H3,CSCC37H3
MATA36H3,CSCC37H3
MATA37H3,CSCC37H3
CSCB09H3,CSCC43H3
CSCB63H3,CSCC43H3
CSCB63H3,CSCC46H3
STAB52H3,CSCC46H3
MATA22H3,CSCC46H3
MATA23H3,CSCC46H3
CSCB36H3,CSCC63H3
CSCB63H3,CSCC63H3
CSCB07H3,CSCC69H3
CSCB09H3,CSCC69H3
CSCB58H3,CSCC69H3
CSCB63H3,CSCC73H3
STAB52H3,CSCC73H3
CSCB58H3,CSCC85H3
CSCB09H3,CSCC85H3
CSCC01H3,CSCD01H3
MATB24H3,CSCD18H3
MATB41H3,CSCD18H3
CSCB09H3,CSCD18H3
CSCC37H3,CSCD18H3
CSCB63H3,CSCD25H3
CSCC11H3,CSCD25H3
CSCB09H3,CSCD27H3
CSCB36H3,CSCD27H3
CSCB58H3,CSCD27H3
CSCC37H3,CSCD37H3
MATB24H3,CSCD37H3
MATB41H3,CSCD37H3
CSCC43H3,CSCD43H3
CSCC69H3,CSCD43H3
CSCC73H3,CSCD43H3
CSCB58H3,CSCD58H3
CSCB63H3,CSCD58H3
STAB52H3,CSCD58H3
CSCB63H3,CSCD70H3
CSCC69H3,CSCD70H3
STAB52H3,CSCD84H3
CSCB63H3,CSCD84H3
CSCD94H3,CSCD95H3
DTSB01H3,DTSB02H3
DTSB02H3,DTSB02H3
ECTB61H3,ECTC61H3
ECTB58H3,ECTC62H3
ECTB61H3,ECTC62H3
ECTB58H3,ECTC63H3
ECTB61H3,ECTC63H3
ECTB58H3,ECTC66H3
ECTB61H3,ECTC66H3
ECTB58H3,ECTC67H3
ECTB61H3,ECTC67H3
ECTB58H3,ECTD63H3
ECTB61H3,ECTD63H3
ECTB58H3,ECTD66H3
ECTB61H3,ECTD66H3
ECTB58H3,ECTD67H3
ECTB61H3,ECTD67H3
ECTB58H3,ECTD68H3
ECTB61H3,ECTD68H3
LGGC64H3,ECTD68H3
LGGC65H3,ECTD68H3
LGGD66H3,ECTD68H3
LGGC67H3,ECTD68H3
LGGD67H3,ECTD68H3
LGGC66H3,ECTD68H3
ECTB58H3,ECTD69H3
ECTB61H3,ECTD69H3
LGGC64H3,ECTD69H3
LGGC65H3,ECTD69H3
LGGD66H3,ECTD69H3
LGGC67H3,ECTD69H3
LGGD67H3,ECTD69H3
LGGC66H3,ECTD69H3
ECTC63H3,ECTD70H3
EESA06H3,EESB02H3
EESA06H3,EESB03H3
EESA09H3,EESB03H3
MATA29H3,EESB03H3
MATA30H3,EESB03H3
EESA01H3,EESB04H3
EESA06H3,EESB04H3
EESA01H3,EESB05H3
EESA06H3,EESB05H3
EESA06H3,EESB15H3
BIOA01H3,EESB16H3
BIOA02H3,EESB16H3
EESA01H3,EESB17H3
EESA07H3,EESB17H3
CHMA10H3,EESB19H3
CHMA11H3,EESB19H3
EESB15H3,EESB19H3
EESB15H3,EESB20H3
EESA06H3,EESB22H3
PHYA10H3,EESB22H3
PHYA11H3,EESB22H3
MATA36H3,EESB26H3
PHYA21H3,EESB26H3
BIOB50H3,EESC02H3
EESA06H3,EESC03H3
BIOB50H3,EESC04H3
EESA06H3,EESC07H3
EESB03H3,EESC18H3
EESB03H3,EESC19H3
CHMA10H3,EESC20H3
CHMA11H3,EESC20H3
EESB15H3,EESC20H3
EESB15H3,EESC22H3
PHYA21H3,EESC22H3
MATA36H3,EESC26H3
MATA37H3,EESC26H3
PHYA10H3,EESC26H3
CHMA10H3,EESC30H3
CHMA11H3,EESC30H3
BIOB50H3,EESC30H3
BIOB51H3,EESC30H3
EESA06H3,EESC31H3
EESB20H3,EESC31H3
EESB19H3,EESC36H3
EESC35H3,EESC36H3
PHYA10H3,EESC37H3
PHYA11H3,EESC37H3
EESB15H3,EESC37H3
EESB20H3,EESC37H3
ESTB01H3,EESC38H3
EESB03H3,EESC38H3
EESB04H3,EESC38H3
EESB05H3,EESC38H3
EESB03H3,EESD06H3
EESC16H3,EESD07H3
EESB04H3,EESD11H3
BIOA01H3,EESD15H3
BIOA02H3,EESD15H3
CHMA10H3,EESD15H3
CHMA11H3,EESD15H3
PHYA10H3,EESD15H3
